ランダムタスク
Thread ID: 2272969140
Total: 0.001526

 %self     total     self     wait    child    calls  name
 26.67      0.00     0.00     0.00     0.00       49  Array#each
  5.44      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  4.26      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  3.93      0.00     0.00     0.00     0.00        6  Array#sort!
  3.60      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.54      0.00     0.00     0.00     0.00       43  Fixnum#==
  2.82      0.00     0.00     0.00     0.00        6  Integer#upto
  2.75      0.00     0.00     0.00     0.00       29  Array#<<
  2.16      0.00     0.00     0.00     0.00        4  WCBT#SR
  2.03      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.97      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.97      0.00     0.00     0.00     0.00       15  Kernel#==
  1.83      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.83      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.77      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.57      0.00     0.00     0.00     0.00        6  Class#new
  1.57      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.57      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.51      0.00     0.00     0.00     0.00        8  Array#==
  1.51      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  1.51      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  1.51      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.51      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.38      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.38      0.00     0.00     0.00     0.00       14  String#==
  1.31      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.18      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.11      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.98      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.98      0.00     0.00     0.00     0.00        3  Array#+
  0.98      0.00     0.00     0.00     0.00        3  WCBT#partition
  0.92      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.85      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.79      0.00     0.00     0.00     0.00        6  String#<<
  0.79      0.00     0.00     0.00     0.00        3  Float#/
  0.72      0.00     0.00     0.00     0.00        7  Array#size
  0.66      0.00     0.00     0.00     0.00        3  Float#ceil
  0.66      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.59      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  0.59      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.59      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.59      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.52      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.46      0.00     0.00     0.00     0.00        6  Float#to_f
  0.39      0.00     0.00     0.00     0.00        1  Array#uniq
  0.39      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.39      0.00     0.00     0.00     0.00        4  Array#[]
  0.33      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.33      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.26      0.00     0.00     0.00     0.00        2  String#to_str
  0.26      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.26      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.20      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.20      0.00     0.00     0.00     0.00        1  Array#sort
  0.13      0.00     0.00     0.00     0.00        1  String#to_s


Thread ID: 2272969140
Total: 0.001278

 %self     total     self     wait    child    calls  name
 29.73      0.00     0.00     0.00     0.00       49  Array#each
  5.24      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  4.85      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  3.99      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.76      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.29      0.00     0.00     0.00     0.00       29  Array#<<
  3.21      0.00     0.00     0.00     0.00        6  Array#sort!
  2.66      0.00     0.00     0.00     0.00        6  Integer#upto
  2.19      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  2.11      0.00     0.00     0.00     0.00        4  WCBT#SR
  1.80      0.00     0.00     0.00     0.00        1  Term::ANSIColor#blue
  1.72      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.72      0.00     0.00     0.00     0.00        1  Term::ANSIColor#magenta
  1.64      0.00     0.00     0.00     0.00       14  String#==
  1.64      0.00     0.00     0.00     0.00        6  Class#new
  1.64      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.56      0.00     0.00     0.00     0.00       15  Kernel#==
  1.49      0.00     0.00     0.00     0.00        1  WCBT#sbg
  1.49      0.00     0.00     0.00     0.00        6  ReqTuple#initialize
  1.49      0.00     0.00     0.00     0.00        1  WCBT#SB
  1.49      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.17      0.00     0.00     0.00     0.00        8  Array#==
  1.10      0.00     0.00     0.00     0.00        7  Array#size
  1.10      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.10      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.02      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.02      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  0.94      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  0.94      0.00     0.00     0.00     0.00        3  WCBT#partition
  0.78      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.78      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.78      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.78      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.70      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.70      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.70      0.00     0.00     0.00     0.00        4  Array#[]
  0.70      0.00     0.00     0.00     0.00        6  String#<<
  0.70      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.63      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.63      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.63      0.00     0.00     0.00     0.00        2  Fixnum#<
  0.55      0.00     0.00     0.00     0.00        3  Float#ceil
  0.47      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.39      0.00     0.00     0.00     0.00        1  WCBT#DB
  0.39      0.00     0.00     0.00     0.00        3  Array#+
  0.39      0.00     0.00     0.00     0.00        1  String#to_s
  0.31      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.31      0.00     0.00     0.00     0.00        3  Fixnum#-
  0.31      0.00     0.00     0.00     0.00        3  Integer#to_i
  0.23      0.00     0.00     0.00     0.00        6  Float#to_f
  0.23      0.00     0.00     0.00     0.00        2  String#to_str
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq
  0.23      0.00     0.00     0.00     0.00        1  Array#uniq!
  0.16      0.00     0.00     0.00     0.00        3  Float#/
  0.16      0.00     0.00     0.00     0.00        1  Array#sort


Thread ID: 2272969140
Total: 0.001311

 %self     total     self     wait    child    calls  name
 27.61      0.00     0.00     0.00     0.00       49  Array#each
  5.03      0.00     0.00     0.00     0.00        3  WCBT#sbgp
  4.50      0.00     0.00     0.00     0.00        3  WCBT#wcsxg
  4.04      0.00     0.00     0.00     0.00        8  Task#get_all_require
  3.74      0.00     0.00     0.00     0.00        6  Array#sort!
  3.66      0.00     0.00     0.00     0.00       43  Fixnum#==
  3.36      0.00     0.00     0.00     0.00       29  Array#<<
  3.20      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  2.44      0.00     0.00     0.00     0.00        6  Integer#upto
  1.98      0.00     0.00     0.00     0.00        4  WCBT#SR
  1.98      0.00     0.00     0.00     0.00        3  WCBT#wcspg
  1.83      0.00     0.00     0.00     0.00        1  WCBT#set_blocktime
  1.75      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.68      0.00     0.00     0.00     0.00        8  Array#==
